FID,feat_code,shape_area,shape_leng,source_id,status,sub_code,centroid_x,centroid_y
18847,5000.000000000000000,4242.396827919999851,359.556422165000015,19500001533.000000000000000,Updated,500000.000000000000000,-73.999512898600003,40.674056794499997
18848,5000.000000000000000,10409.644308799999635,431.748129350999989,19500001534.000000000000000,New,500000.000000000000000,-73.922529753800006,40.704886219499997
18849,5000.000000000000000,14809.830839500000366,524.840642906999960,19500001535.000000000000000,New,500000.000000000000000,-73.922085736100001,40.704632488599998
18850,5000.000000000000000,8900.416043909999644,416.523974968999994,19500001536.000000000000000,New,500000.000000000000000,-73.921736241199994,40.706156385699998
18851,5000.000000000000000,10134.454113600000710,604.745863915999962,19500001537.000000000000000,New,500000.000000000000000,-74.018031580200002,40.677747056900003
18852,5000.000000000000000,14146.898083800000677,479.764161074000015,19500001538.000000000000000,New,500000.000000000000000,-74.016695014199996,40.654645189999997
18853,5000.000000000000000,9667.515449729999091,538.952658049999968,19500001539.000000000000000,New,500000.000000000000000,-74.016308665400004,40.655547742099998
18854,5000.000000000000000,36709.864019400003599,1337.505751160000045,19500001540.000000000000000,New,500000.000000000000000,-74.015674668100004,40.655938349400003
18855,5000.000000000000000,35368.413167099999555,930.754730199000051,19500001541.000000000000000,New,500000.000000000000000,-74.017260543299997,40.653977375600000
18856,5000.000000000000000,24662.868368200000987,681.863079695000010,19500001542.000000000000000,New,500000.000000000000000,-74.018177000400001,40.653098678500001
18857,5000.000000000000000,9716.462024750000637,531.997228683999992,19500001543.000000000000000,New,500000.000000000000000,-74.014945435200005,40.654738664900002
18858,5000.000000000000000,20603.048886799999309,616.757751785999972,19500001544.000000000000000,New,500000.000000000000000,-74.010506692400000,40.668212818400001
18859,5000.000000000000000,20879.545660499999940,863.692084109999996,19500001545.000000000000000,New,500000.000000000000000,-74.010792580300006,40.668111263500002
18860,5000.000000000000000,88346.712388400002965,2108.010097700000188,19500001546.000000000000000,New,500000.000000000000000,-74.011246067100004,40.666706734400002
18861,5000.000000000000000,19052.686305499999435,662.321333647999950,19500001547.000000000000000,New,500000.000000000000000,-74.012050193999997,40.665312150500000
18862,5000.000000000000000,6902.971444859999792,403.231417957000019,19500001548.000000000000000,New,500000.000000000000000,-74.019169827699997,40.648939603499997
18863,5000.000000000000000,29007.275533700001688,1360.221718900000042,19500001549.000000000000000,New,500000.000000000000000,-74.023953836100006,40.685740425100001
18864,5000.000000000000000,63343.183715500003018,2632.768811729999925,19500001550.000000000000000,New,500000.000000000000000,-74.016991317199995,40.679637703799997
18865,5000.000000000000000,48037.702704299998004,930.190141779999976,19500001551.000000000000000,New,500000.000000000000000,-74.016429689399999,40.680193304399999
18866,5000.000000000000000,49361.549898600002052,958.569474263999950,19500001552.000000000000000,New,500000.000000000000000,-74.015761107700001,40.679739369399996
18867,5000.000000000000000,24546.851274299999204,745.403296157999989,19500001553.000000000000000,New,500000.000000000000000,-74.015253476400005,40.680175524900001
